,emotion,text,hidden_emo_text,label
2760,joy,My fiance proposed,My fiance proposed,3
5799,surprise,My dad gave me a car on my birthday.,My dad gave me a car on my birthday.,5
2547,joy,I accepted Christ as my savior,I accepted Christ as my savior,3
132,anger,I felt anger when being called a liar by a friend resulting in an argument,I felt ... when being called a liar by a friend resulting in an argument,0
1528,disgust,my colleague told me a man spat on a baby in the library where I work,my colleague told me a man spat on a baby in the library where I work,1
1754,fear,I was in a car accident.,I was in a car accident.,2
3022,joy,I play valorant and land really good headshots,I play valorant and land really good headshots,3
1172,disgust,I felt disgust when I found out my colleague was being bullied for her nationality,I felt ... when I found out my colleague was being bullied for her nationality,1
4921,sadness,i lost my grand mother to corona virus,i lost my grand mother to corona virus,4
165,anger,"My mother told me that she hated me, and wished I was never born. I felt anger because I had tried to support her on numerous occasions and had it thrown back in my face.","My mother told me that she hated me, and wished I was never born. I felt ... because I had tried to support her on numerous occasions and had it thrown back in my face.",0
3016,joy,I was dancing with my partner and closest friends right before the pandemic,I was dancing with my partner and closest friends right before the pandemic,3
118,anger,2 of my colleagues went behind my back,2 of my colleagues went behind my back,0
5703,surprise,i got a laptop for christmas,i got a laptop for christmas,5
1559,disgust,I felt DISGUST because I lied about something,I felt ... because I lied about something,1
1452,disgust,If I found rotten food in a cupboard when I moved into my new house.,If I found rotten food in a cupboard when I moved into my new house.,1
1471,disgust,I felt disgust when I watched a grown man try to flirt with new college age girls and I.,I felt ... when I watched a grown man try to flirt with new college age girls and I.,1
5957,surprise,"My parents woke me up during a school morning and told me we were going off to see a movie instead, as we had all been looking forward to it and wanted a break.","My parents woke me up during a school morning and told me we were going off to see a movie instead, as we had all been looking forward to it and wanted a break.",5
5073,sadness,my boyfriend dumped me,my boyfriend dumped me,4
283,anger,Sophie was rude to me,Sophie was rude to me,0
456,anger,During a vacation a man groped my girlfriend.,During a vacation a man groped my girlfriend.,0
1762,fear,my former housemate started being hostile,my former housemate started being hostile,2
72,anger,I was arguing,I was arguing,0
5516,surprise,I found out my exam results,I found out my exam results,5
153,anger,My boss would not give me time off for bereavement...so I quit.,My boss would not give me time off for bereavement...so I quit.,0
1575,disgust,I trod on the body of a dead bird,I trod on the body of a dead bird,1
5988,surprise,I got a new job,I got a new job,5
5860,surprise,My friend told me she was moving to the same city as me,My friend told me she was moving to the same city as me,5
2157,fear,I was in a pub in the local city centre with my 2 friends which is our regular activity on a sunday. There had been no problems previously until 2 men started to argue and cause a scene in the pub. We initially thought it would settle down but within a short space of time the 2 men were fighting each other and their friends then got involved. People were trying to split them up as it was a sunday morning with people of all ages in there. I was scared and feared for my safety and my friends. The men were taken out of the pub but we were then frightened to leave in case of more trouble outside.,I was in a pub in the local city centre with my 2 friends which is our regular activity on a sunday. There had been no problems previously until 2 men started to argue and cause a scene in the pub. We initially thought it would settle down but within a short space of time the 2 men were fighting each other and their friends then got involved. People were trying to split them up as it was a sunday morning with people of all ages in there. I was ... and ... for my safety and my friends. The men were taken out of the pub but we were then ... to leave in case of more trouble outside.,2
2090,fear,I couldnt find my child while out shopping,I couldnt find my child while out shopping,2
5143,sadness,I felt sadness when my ex boyfriend of 7 years cheated on me.,I felt ... when my ex boyfriend of 7 years cheated on me.,4
2028,fear,i was furloughed last year  -really scared of not being able to pay my mortgage,i was furloughed last year  -really ... of not being able to pay my mortgage,2
2867,joy,I felt joy when I snuggled with my best friend while watching a film because I felt safe,I felt ... when I snuggled with my best friend while watching a film because I felt safe,3
5776,surprise,my husband and my daughter came to meet me from work when i thought they were staying at home.,my husband and my daughter came to meet me from work when i thought they were staying at home.,5
485,anger,my daughter's speech therapist said that my daughter wasn't progressing in therapy because my daughter didn't want too.,my daughter's speech therapist said that my daughter wasn't progressing in therapy because my daughter didn't want too.,0
1356,disgust,I had to reach into the drain at my job and pull out a clog of wet food.,I had to reach into the drain at my job and pull out a clog of wet food.,1
2947,joy,"I felt joy when I took a long bike ride in a park in my city. I biked through orange and yellow trees, and the sunlight slanted through the branches as it got closer to sunset. The air was crisp and fresh to breathe, and all of these combined made for a very joyful experience.","I felt ... when I took a long bike ride in a park in my city. I biked through orange and yellow trees, and the sunlight slanted through the branches as it got closer to sunset. The air was crisp and fresh to breathe, and all of these combined made for a very ... experience.",3
1467,disgust,I visited my grandparents house and discovered it was filthy,I visited my grandparents house and discovered it was filthy,1
1237,disgust,"Protesters blocked the M25 (main road) whilst protesting climate change. People were late for working, missed appointments, late for picking children up etc. It had an impact on the wrong people, I was disgusted by this and thought it was selfish.","Protesters blocked the M25 (main road) whilst protesting climate change. People were late for working, missed appointments, late for picking children up etc. It had an impact on the wrong people, I was ... by this and thought it was selfish.",1
1814,fear,walked through a dangerous area of town for work.,walked through a dangerous area of town for work.,2
5633,surprise,I felt surprise when I got my exam results and found out id passed my year,I felt ... when I got my exam results and found out id passed my year,5
177,anger,when I went to say hi to my boss who turned his head just as I was about to speak and pretended to talk to someone else.,when I went to say hi to my boss who turned his head just as I was about to speak and pretended to talk to someone else.,0
2475,joy,I was standing on top of a trailer at a music festival with a great friend. We had just been given free bags of beef jerky and one of my favourite songs was played as the sun was setting.,I was standing on top of a trailer at a music festival with a great friend. We had just been given free bags of beef jerky and one of my favourite songs was played as the sun was setting.,3
2650,joy,"I felt joy when the girls hockey team I was coaching won gold in a tournament. I was the assistant defensive coach and after a long, hard tournament we won first place.","I felt ... when the girls hockey team I was coaching won gold in a tournament. I was the assistant defensive coach and after a long, hard tournament we won first place.",3
5030,sadness,When I tried really hard and put my all into an interview for a job I really wanted but then lost out to a person taking a step down in her career.,When I tried really hard and put my all into an interview for a job I really wanted but then lost out to a person taking a step down in her career.,4
5223,sadness,when the event got cancelled as there was no issues.,when the event got cancelled as there was no issues.,4
1481,disgust,"I'd never been able to take my family on many holidays so getting to take them abroad was a dream came true. But i was disgusted by the state of the place we were to be staying. It looked nothing like the pictures shown. It was filthy. The main bed was broken, items missing so couldn't use the kitchen facilities as planned. It was a run down mess and to top it off they were adding items to hotel bill that i hadn't even had.","I'd never been able to take my family on many holidays so getting to take them abroad was a dream came true. But i was ... by the state of the place we were to be staying. It looked nothing like the pictures shown. It was filthy. The main bed was broken, items missing so couldn't use the kitchen facilities as planned. It was a run down mess and to top it off they were adding items to hotel bill that i hadn't even had.",1
1530,disgust,I was in college studying beauty therapy and my fellow student was refused by the tutor to participate in the training for spray tanning because she was in a wheelchair and there was apparently no provision / easy way for her to be able to take part. This disgusted myself and my fellow students as we felt that was horrifically disablist towards our friend / fellow student.,I was in college studying beauty therapy and my fellow student was refused by the tutor to participate in the training for spray tanning because she was in a wheelchair and there was apparently no provision / easy way for her to be able to take part. This ... myself and my fellow students as we felt that was horrifically disablist towards our friend / fellow student.,1
2589,joy,I bought my first car because it made me feel independent.,I bought my first car because it made me feel independent.,3
1621,disgust,I saw anti-vaxxers accost and harass healthcare workers at the hospital.,I saw anti-vaxxers accost and harass healthcare workers at the hospital.,1
1984,fear,I got lost in a foreign city and had a phone with no battery,I got lost in a foreign city and had a phone with no battery,2
462,anger,My job status was delayed,My job status was delayed,0
5091,sadness,I had a miscarriage,I had a miscarriage,4
4705,sadness,"I felt sadness when I had to go to a funeral of a family member, she had been ill for some time so was very sad once she did pass away.","I felt ... when I had to go to a funeral of a family member, she had been ill for some time so was very ... once she did pass away.",4
5872,surprise,a person let me down on a task they had promised to do. It surprised me as they are usually very reliable,a person let me down on a task they had promised to do. It ... me as they are usually very reliable,5
5905,surprise,I got offered my current job. I didn't think I had the experience for it so was really pleasantly surprised when I was offered it,I got offered my current job. I didn't think I had the experience for it so was really pleasantly ... when I was offered it,5
5707,surprise,I was given a helping hand financially with something,I was given a helping hand financially with something,5
2674,joy,I completed Kokohead,I completed Kokohead,3
5881,surprise,"I felt surprised when I noticed my grandmother bearing the same name with my wife, the day I first introduced my wife to my mother, my mother introduced herself to my wife with her full name not even knowing that she's bearing same name with my wife","I felt ... when I noticed my grandmother bearing the same name with my wife, the day I first introduced my wife to my mother, my mother introduced herself to my wife with her full name not even knowing that she's bearing same name with my wife",5
206,anger,My siblings don't listen to what I tell them to do and repeat actions they know no one in the house likes i.e. not washing their dishes,My siblings don't listen to what I tell them to do and repeat actions they know no one in the house likes i.e. not washing their dishes,0
2899,joy,I felt joy when my brothers and I got to take part in my parents renewing their vows because we got to experience the unconditional love that they taught us is important in life.,I felt ... when my brothers and I got to take part in my parents renewing their vows because we got to experience the unconditional love that they taught us is important in life.,3
5997,surprise,I got a new job that I had really wanted but doubted I would be offered.,I got a new job that I had really wanted but doubted I would be offered.,5
1969,fear,I felt fear because I might die alone,I felt ... because I might die alone,2
1135,disgust,I was working in a hospital and a physio was walking a patient through the corridor in a few metres in front of me. The poor patient through no fault of her own was incontinent and had not been given a nappy. She defecated on the floor while walking with the physio and had I not been paying attention I would have walked right the the excrement.,I was working in a hospital and a physio was walking a patient through the corridor in a few metres in front of me. The poor patient through no fault of her own was incontinent and had not been given a nappy. She defecated on the floor while walking with the physio and had I not been paying attention I would have walked right the the excrement.,1
4738,sadness,"my pet fish died, and I wasn't there. The person feeding him for me told me.","my pet fish died, and I wasn't there. The person feeding him for me told me.",4
4702,sadness,I found out my aunt has cancer,I found out my aunt has cancer,4
4859,sadness,I had to put my dog down at the vets,I had to put my dog down at the vets,4
2055,fear,I felt fear when I spoke to police to give my statement for the man who sexually assaulted me as a child,I felt ... when I spoke to police to give my statement for the man who sexually assaulted me as a child,2
1682,fear,because I was being chased by older people through the park.,because I was being chased by older people through the park.,2
5077,sadness,"My brother accidentally broke my new iPhone.  We were staying at a hotel, hanging out on the balcony and he bumped into me, knocking my phone out of my hand and over the railing, shattering the screen.  I was so sad because we had literally just gotten back to the hotel after coming from the phone store where I bought it.","My brother accidentally broke my new iPhone.  We were staying at a hotel, hanging out on the balcony and he bumped into me, knocking my phone out of my hand and over the railing, shattering the screen.  I was so ... because we had literally just gotten back to the hotel after coming from the phone store where I bought it.",4
2177,fear,"I saw a woman across a crowed room who I knew for a fact had died. I couldn't believe my eyes and thought I must seeing a ghost and therefore going momentarily insane. I was with my mother and I tapped her urgently. She looked where I was looking and must have recognised the fear on my face, then realised what I must be thinking. My mother then said something along the lines of ""Don't worry, that's her twin, she was a twin.""","I saw a woman across a crowed room who I knew for a fact had died. I couldn't believe my eyes and thought I must seeing a ghost and therefore going momentarily insane. I was with my mother and I tapped her urgently. She looked where I was looking and must have recognised the ... on my face, then realised what I must be thinking. My mother then said something along the lines of ""Don't worry, that's her twin, she was a twin.""",2
129,anger,My tutor talk to me and treated me like a child when I am an adult,My tutor talk to me and treated me like a child when I am an adult,0
2711,joy,I felt JOY when I bought tickets to see Hamilton for 2022,I felt ... when I bought tickets to see Hamilton for 2022,3
2835,joy,my daughter taught herself how to do a backflip after weeks of trying.,my daughter taught herself how to do a backflip after weeks of trying.,3
5152,sadness,I lost the school government election,I lost the school government election,4
5557,surprise,My dad offered to help me when buying a house,My dad offered to help me when buying a house,5
4854,sadness,current events in the world are really heavy. The disappearance of a girl's body being found is so sad.,current events in the world are really heavy. The disappearance of a girl's body being found is so ....,4
1761,fear,"My mother had come home from running errands and my dog came down to greet her at the door. However, my sister had just left on her bike, and my dog decided it was a great idea to chase after her. She didn't have her leash on and ran halfway down the road before my sister stopped to catch her. I was quite afraid that she would get hit by a car.","My mother had come home from running errands and my dog came down to greet her at the door. However, my sister had just left on her bike, and my dog decided it was a great idea to chase after her. She didn't have her leash on and ran halfway down the road before my sister stopped to catch her. I was quite ... that she would get hit by a car.",2
1967,fear,Learning to drive on the motorway,Learning to drive on the motorway,2
2764,joy,Going to the aquarium with my boyfriend and spending the day together laughing and enjoying the animals,Going to the aquarium with my boyfriend and spending the day together laughing and enjoying the animals,3
4753,sadness,when my grandma was diagnosed with cancer,when my grandma was diagnosed with cancer,4
4867,sadness,"i spent all of my money on things i don't need such as fast food, McDonalds and then i realize later that i could have used that money on things i needed: phone bill, hygiene products, and wants that could have last longer than food.","i spent all of my money on things i don't need such as fast food, McDonalds and then i realize later that i could have used that money on things i needed: phone bill, hygiene products, and wants that could have last longer than food.",4
4955,sadness,my grandad passed away,my grandad passed away,4
10,anger,A person close to me belittled my actions,A person close to me belittled my actions,0
5903,surprise,when i found out that my wife was going to be having my child,when i found out that my wife was going to be having my child,5
1855,fear,I was totally lost in a foreign country,I was totally lost in a foreign country,2
2816,joy,i felt joy when my niece was born,i felt ... when my niece was born,3
1978,fear,I received a call  to say that my dad had had a heart attack and was in hospital needing open heart surgery,I received a call  to say that my dad had had a heart attack and was in hospital needing open heart surgery,2
1480,disgust,I felt disgust when I saw wasted food,I felt ... when I saw wasted food,1
1145,disgust,seeing a badly injured person in an accident,seeing a badly injured person in an accident,1
1878,fear,When my sister had an allergic reaction and her throat was closing up,When my sister had an allergic reaction and her throat was closing up,2
103,anger,I felt ANGER when the bus was late and I needed to get to work at a certain time. I had to go to another stop and get another bus. When I got on the driver was rude to me.,I felt ... when the bus was late and I needed to get to work at a certain time. I had to go to another stop and get another bus. When I got on the driver was rude to me.,0
1809,fear,I felt fear when walking home alone on Wednesday at night,I felt ... when walking home alone on Wednesday at night,2
538,anger,my neighbour in the flat above me was having many parties and I asked them to stop at a decent hour but kept going till gone 3am.,my neighbour in the flat above me was having many parties and I asked them to stop at a decent hour but kept going till gone 3am.,0
1162,disgust,When I binge ate out of restriction,When I binge ate out of restriction,1
226,anger,"Someone at our church wrote my husband, who is the pastor, a letter complaining about one of his lessons.","Someone at our church wrote my husband, who is the pastor, a letter complaining about one of his lessons.",0
1787,fear,when I went to the doctors for my infection in my arm,when I went to the doctors for my infection in my arm,2
2531,joy,I got a new puppy,I got a new puppy,3
335,anger,I was racially harassed when enjoying a family day out in London,I was racially harassed when enjoying a family day out in London,0
4726,sadness,I realized how poor I was today,I realized how poor I was today,4
1324,disgust,"I was on a work trip a few weeks tontbe Austrian Alps. For a team building event, we climbed a mountain. It rained. We got to the top and went to eat in a little hut. I was cold and tired and wet and hungry. I and several colleagues don't eat meat and we'd phoned ahead of time to tell them. But they brought out platters with lots of luncheon meat for everyone. The smell of meat was really, really strong and the vegan option was a smear of avocado on stodgy bread. But the smell of meat was so strong, I couldn't stomach eating anything. Beautiful place but I felt disgusting when looking at those meat platters","I was on a work trip a few weeks tontbe Austrian Alps. For a team building event, we climbed a mountain. It rained. We got to the top and went to eat in a little hut. I was cold and tired and wet and hungry. I and several colleagues don't eat meat and we'd phoned ahead of time to tell them. But they brought out platters with lots of luncheon meat for everyone. The smell of meat was really, really strong and the vegan option was a smear of avocado on stodgy bread. But the smell of meat was so strong, I couldn't stomach eating anything. Beautiful place but I felt ... when looking at those meat platters",1
1689,fear,I was running away from a shooting and a car was trying to run me down,I was running away from a shooting and a car was trying to run me down,2
5825,surprise,winning in bingo that i didnt expect.,winning in bingo that i didnt expect.,5
1990,fear,When I had to tell someone I was autistic because I couldn't cope with my surroundings and they thought I was overreacting by telling them to leave me alone,When I had to tell someone I was autistic because I couldn't cope with my surroundings and they thought I was overreacting by telling them to leave me alone,2
5558,surprise,I felt SURPRISE when my partner told me he had planned a secret holiday for my birthday,I felt ... when my partner told me he had planned a secret holiday for my birthday,5
400,anger,"i felt anger at university, where during the pandemic we still had to may £9000, even though we did not receive any service or lectures.","i felt ... at university, where during the pandemic we still had to may £9000, even though we did not receive any service or lectures.",0
239,anger,Being at work and colleagues miss treating service users,Being at work and colleagues miss treating service users,0
5035,sadness,I was kicked out of my family home,I was kicked out of my family home,4
6028,surprise,I felt surprised when my husband surprised me and flew to Portugal to meet me on holiday and propose,I felt ... when my husband ... me and flew to Portugal to meet me on holiday and propose,5
5755,surprise,a close friend at work got a promotion over me,a close friend at work got a promotion over me,5
1542,disgust,I was walking through my local town and a group of young people were shouting offensive words at everyone,I was walking through my local town and a group of young people were shouting offensive words at everyone,1
2628,joy,I felt joy when I was able to move out on my own and live alone.,I felt ... when I was able to move out on my own and live alone.,3
1455,disgust,"we got a new political leader who is anti abortion, homosexuality and supports priests abusing children.","we got a new political leader who is anti abortion, homosexuality and supports priests abusing children.",1
1203,disgust,i heard about a nursing home worker taking advantage of an old blind man.,i heard about a nursing home worker taking advantage of an old blind man.,1
426,anger,"I felt anger when my friends told my partner I might be too much, because they had always said i deserved the best after being abused.","I felt ... when my friends told my partner I might be too much, because they had always said i deserved the best after being abused.",0
5094,sadness,I felt sadness when I found out that my sister-in-law's brother was struggling with addiction because I knew it would be a hard road to recovery for him and a difficult situation for their family.,I felt ... when I found out that my sister-in-law's brother was struggling with addiction because I knew it would be a hard road to recovery for him and a difficult situation for their family.,4
2535,joy,I was playing with my niece and nephews outside.,I was playing with my niece and nephews outside.,3
4897,sadness,I wasn't invited to my close friends wedding,I wasn't invited to my close friends wedding,4
2939,joy,I was a godmother at my best friends sons Christening,I was a godmother at my best friends sons Christening,3
1771,fear,I felt fear when I thought I had COVID-19 a few days ago,I felt ... when I thought I had COVID-19 a few days ago,2
1812,fear,i sneaked illegal contraband into a festival. i knew i shouldn't have done it and there would be consequences if caught.,i sneaked illegal contraband into a festival. i knew i shouldn't have done it and there would be consequences if caught.,2
60,anger,When my boyfriend was going through his Instagram followers and clicked on a girls profile and looked at a girls Instagram picture of her butt.,When my boyfriend was going through his Instagram followers and clicked on a girls profile and looked at a girls Instagram picture of her butt.,0
1105,disgust,I heard a story on social media about a mother dumping her baby in a dumpster,I heard a story on social media about a mother dumping her baby in a dumpster,1
5970,surprise,"my boss initially refused my leave of absence multiple times even though I had been asking for one for weeks, and then suddenly responded to my email to start taking it the next day.","my boss initially refused my leave of absence multiple times even though I had been asking for one for weeks, and then suddenly responded to my email to start taking it the next day.",5
5981,surprise,I felt surprise because my boyfriend got me a gift out of nowhere,I felt ... because my boyfriend got me a gift out of nowhere,5
369,anger,someone drove into the back of brand new car - 2 days after collecting,someone drove into the back of brand new car - 2 days after collecting,0
5750,surprise,I got a bad grade on my ODE exam.,I got a bad grade on my ODE exam.,5
5172,sadness,my husband has become very distant from his family and has only interests in gaming and gambling.,my husband has become very distant from his family and has only interests in gaming and gambling.,4
1112,disgust,I see racism,I see racism,1
423,anger,I had a complaint with PayPal they weren't helping with,I had a complaint with PayPal they weren't helping with,0
1850,fear,I felt fear when I was alone in the dark.,I felt ... when I was alone in the dark.,2
2614,joy,my wedding day when we were celebrating after the ceremony,my wedding day when we were celebrating after the ceremony,3
2617,joy,When I got my A level results,When I got my A level results,3
1230,disgust,I saw a member of the public verbally abuse a shop assistant,I saw a member of the public verbally abuse a shop assistant,1
1571,disgust,I felt disgust when the guy talked to me.,I felt ... when the guy talked to me.,1
2925,joy,I found a praying mantis.,I found a praying mantis.,3
1769,fear,COVID pandemic,COVID pandemic,2
1970,fear,A dog ran at me barking in a rural area,A dog ran at me barking in a rural area,2
421,anger,The train I was due to get home was severely delayed and I nearly missed my connecting train,The train I was due to get home was severely delayed and I nearly missed my connecting train,0
2805,joy,When I was at my allotment with my family and we had just build a bench together from spare wood we had.,When I was at my allotment with my family and we had just build a bench together from spare wood we had.,3
325,anger,I lost in a video game after I had invested over 45 minutes in trying to complete a level in the game. I was angry because I had lost all my progress and the past 45 minutes felt like they counted for nothing and were wasted.,I lost in a video game after I had invested over 45 minutes in trying to complete a level in the game. I was ... because I had lost all my progress and the past 45 minutes felt like they counted for nothing and were wasted.,0
2510,joy,i recently got  a new job,i recently got  a new job,3
5839,surprise,I felt surprised when I found out I was going to be an aunt,I felt ... when I found out I was going to be an aunt,5
521,anger,people talk over me,people talk over me,0
2895,joy,i won a game of smite,i won a game of smite,3
2537,joy,"When I travelled for fun, leisure to museums, zoo, parks.","When I travelled for fun, leisure to museums, zoo, parks.",3
1249,disgust,My partner was sick in our bed after a night out when he had been drinking alcohol. The smell was was awful and I had to clean it up and change the sheets in the early hours.,My partner was sick in our bed after a night out when he had been drinking alcohol. The smell was was awful and I had to clean it up and change the sheets in the early hours.,1
1791,fear,I felt fear when my car battery died when I was 40 minutes from home,I felt ... when my car battery died when I was 40 minutes from home,2
4722,sadness,my friend's mum died.,my friend's mum died.,4
2791,joy,"I went to the fair with my sister a few weeks ago. I felt like a little girl again, having fun on the rides and spending quality time with my sister for a good few hours. Though, I did start to feel sick as I repeatedly went on the same rides.","I went to the fair with my sister a few weeks ago. I felt like a little girl again, having fun on the rides and spending quality time with my sister for a good few hours. Though, I did start to feel sick as I repeatedly went on the same rides.",3
1573,disgust,my boyfriend got laid off from a company before even starting his first day,my boyfriend got laid off from a company before even starting his first day,1
1306,disgust,I felt disgust when I had to get a chest tube inserted because of a collapsed lung. The thought of blood and what was going into my body grossed me out.,I felt ... when I had to get a chest tube inserted because of a collapsed lung. The thought of blood and what was going into my body grossed me out.,1
5923,surprise,I got a dog for my birthday,I got a dog for my birthday,5
1662,fear,"One night while alone at my father's house, I saw a dark figure staring into the living room in which I was sitting. The figure, which I assumed was a man, pressed its head against the glass and tried to open the front door. He jiggled it for a few seconds and tried to pull it open before simply staring at me and walking off.","One night while alone at my father's house, I saw a dark figure staring into the living room in which I was sitting. The figure, which I assumed was a man, pressed its head against the glass and tried to open the front door. He jiggled it for a few seconds and tried to pull it open before simply staring at me and walking off.",2
2171,fear,i felt fear when i went to luna Park for the first time and i was nearly forced to go on the scissor ride because i do not like rides that go upside down,i felt ... when i went to luna Park for the first time and i was nearly forced to go on the scissor ride because i do not like rides that go upside down,2
405,anger,my sports team lost on the weekend,my sports team lost on the weekend,0
5740,surprise,I found out I was pregnant after having ivf,I found out I was pregnant after having ivf,5
5639,surprise,I felt surprise when I was working as an intern for one company and that company's competitor reached out to me to offer me a full time position with that company.,I felt ... when I was working as an intern for one company and that company's competitor reached out to me to offer me a full time position with that company.,5
312,anger,I was skipped in a queue to check in at an airport,I was skipped in a queue to check in at an airport,0
1936,fear,when I had a car accident with my friend,when I had a car accident with my friend,2
1896,fear,I felt fear when I scraped and dented my car along a pole(?) in my campus parking garage with a slowly growing line of cars behind me waiting to park.,I felt ... when I scraped and dented my car along a pole(?) in my campus parking garage with a slowly growing line of cars behind me waiting to park.,2
38,anger,When my roommates wouldn't let a friend of mine stay there for the night when they had nowhere to sleep and were not accommodating at all,When my roommates wouldn't let a friend of mine stay there for the night when they had nowhere to sleep and were not accommodating at all,0
1580,disgust,I saw a dog being hit.,I saw a dog being hit.,1
4763,sadness,My grandmother died,My grandmother died,4
5715,surprise,when I found out I ended my last semester of college with a 4.0 GPA.,when I found out I ended my last semester of college with a 4.0 GPA.,5
4700,sadness,I had to move home from college,I had to move home from college,4
1294,disgust,I found a hair in my food while eating at a restaurant,I found a hair in my food while eating at a restaurant,1
1848,fear,My dog was let out and went missing for 3 days,My dog was let out and went missing for 3 days,2
2541,joy,i felt joy when i heard about your return,i felt ... when i heard about your return,3
2195,fear,I had to go into my brothers flooded basement alone in the dark,I had to go into my brothers flooded basement alone in the dark,2
5821,surprise,when I built my first computer,when I built my first computer,5
242,anger,A client never showed up for a work meeting after a 4 hour drive,A client never showed up for a work meeting after a 4 hour drive,0
5652,surprise,"My sisters boyfriend at the time, told me he loved me instead of my sister.","My sisters boyfriend at the time, told me he loved me instead of my sister.",5
4934,sadness,My parents dog died. We knew Doris was getting old but it was still very sad when she died. I still miss her but Im getting less sad as time goes on.,My parents dog died. We knew Doris was getting old but it was still very ... when she died. I still miss her but Im getting less ... as time goes on.,4
4750,sadness,"I felt sadness when my grandmother died. She was bedridden for about a week, then passed while I sat with my family outside her bedroom. It was not unexpected, but was very sad.","I felt ... when my grandmother died. She was bedridden for about a week, then passed while I sat with my family outside her bedroom. It was not unexpected, but was very ....",4
1444,disgust,When Hungry fans booed black football players.,When Hungry fans booed black football players.,1
1486,disgust,people from the group 'insulate Britain' block ambulances and people trying to see their families/ get to work,people from the group 'insulate Britain' block ambulances and people trying to see their families/ get to work,1
2044,fear,"I contracted the virus now known as Covid-19.  I had already received my first dose of the Pfizer-Moderna vaccine, and was in hospital for two weeks.  I very much feared for my life.  I did not know if I was going to make it out of the hospital, however thanks to my vaccine, I managed to recover, and am now healthy as a horse!","I contracted the virus now known as Covid-19.  I had already received my first dose of the Pfizer-Moderna vaccine, and was in hospital for two weeks.  I very much ... for my life.  I did not know if I was going to make it out of the hospital, however thanks to my vaccine, I managed to recover, and am now healthy as a horse!",2
5722,surprise,got dumped by an ex girlfriend,got dumped by an ex girlfriend,5
2544,joy,joy when i win money,joy when i win money,3
2903,joy,I won a football match,I won a football match,3
109,anger,I do not feel understood or are under too much pressure,I do not feel understood or are under too much pressure,0
1752,fear,sexually assaulted,sexually assaulted,2
136,anger,"My partner accused me of ""not pulling my weight""","My partner accused me of ""not pulling my weight""",0
2153,fear,I felt fear when i went to an in person scare experience for halloween,I felt ... when i went to an in person ... experience for halloween,2
126,anger,someone moved my personal belongings,someone moved my personal belongings,0
28,anger,my brother took something without asking and used half of it,my brother took something without asking and used half of it,0
1710,fear,I felt fear when I was I gave birth to my daughter because she had ingested fluids and wasn't making any sounds when they were tending to her.,I felt ... when I was I gave birth to my daughter because she had ingested fluids and wasn't making any sounds when they were tending to her.,2
1432,disgust,I felt disgust when a family member turned their back on the rest of the family because of his new partner.,I felt ... when a family member turned their back on the rest of the family because of his new partner.,1
417,anger,having my food delivery stolen by the driver,having my food delivery stolen by the driver,0
2773,joy,"I had a family Sunday night dinner, and all attendees enjoyed the pie that I had made for them.","I had a family Sunday night dinner, and all attendees enjoyed the pie that I had made for them.",3
5756,surprise,I felt surprise when my friend visited for my birthday because I thought she was away,I felt ... when my friend visited for my birthday because I thought she was away,5
3015,joy,"I was tidying the kitchen and heard my nearly 3 year old singing in the living room. I went in to find her in her Anna dress (a character from frozen) dancing around the living room and singing along to one of Annas songs in the soundtrack that her dad had put on the sonos for her. She wasnt aware that either of us was watching, she was just so happy to be playing her character and living in her moment","I was tidying the kitchen and heard my nearly 3 year old singing in the living room. I went in to find her in her Anna dress (a character from frozen) dancing around the living room and singing along to one of Annas songs in the soundtrack that her dad had put on the sonos for her. She wasnt aware that either of us was watching, she was just so happy to be playing her character and living in her moment",3
6041,surprise,When I discovered my grandparents were coming to visit me as for the last 6 years they have stressed they never had any intention of coming to visit me,When I discovered my grandparents were coming to visit me as for the last 6 years they have stressed they never had any intention of coming to visit me,5
549,anger,A dog bit my son,A dog bit my son,0
333,anger,Someone made negative comments toward another member in a Facebook group I'm part of,Someone made negative comments toward another member in a Facebook group I'm part of,0
2588,joy,"I felt joy when I was hired for my current job, because I had been unemployed and out of the hospital for months beforehand.","I felt ... when I was hired for my current job, because I had been unemployed and out of the hospital for months beforehand.",3
2862,joy,we picked up a puppy.,we picked up a puppy.,3
5105,sadness,I felt sadness when I weighed myself this morning and Im still not under 175,I felt ... when I weighed myself this morning and Im still not under 175,4
2890,joy,I felt joy when my boyfriend told me he was able to come visit me at school after not being able to for more than a year because his parents wouldn't let him due to covid.,I felt ... when my boyfriend told me he was able to come visit me at school after not being able to for more than a year because his parents wouldn't let him due to covid.,3
2031,fear,Not knowing how to pay for rent and food,Not knowing how to pay for rent and food,2
1711,fear,I hit the back of another car when i was driving with with my 2 young children,I hit the back of another car when i was driving with with my 2 young children,2
4816,sadness,"I felt sadness when I heard about a friend who has recently gone into a psych ward because he used to be very close to me, an ambitious young man, but for reasons that may or may not be in his control he has abandoned society and society has done the same to him.","I felt ... when I heard about a friend who has recently gone into a psych ward because he used to be very close to me, an ambitious young man, but for reasons that may or may not be in his control he has abandoned society and society has done the same to him.",4
2024,fear,I almost drowned,I almost drowned,2
261,anger,I was told I wasnt good enough for a job,I was told I wasnt good enough for a job,0
1181,disgust,I felt disgust when I listened to a mans pro life views after the passing of the new Texas heartbeat law,I felt ... when I listened to a mans pro life views after the passing of the new Texas heartbeat law,1
2959,joy,My mother received positive news from a scan,My mother received positive news from a scan,3
